from,tokenid,amount
0x14BB96792BC2058D59AF8b098F1C4fF69267968f,1,100
0x98CC9fd8B9aF3Ed207d977400626D95E38200bf1,1,100
0x0f1025f754b3eb32ab3105127b563084BFa03A6F,1,105
0x3E1802666e61DE27EcdfD79Af17423Fb53D7F147,1,150
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,1,102
0xb82b04f420D4Bc501512013133aC7f2Aca64A064,1,200
0x0f1025f754b3eb32ab3105127b563084BFa03A6F,1,200
0x3E1802666e61DE27EcdfD79Af17423Fb53D7F147,1,300
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,1,300
0x0f1025f754b3eb32ab3105127b563084BFa03A6F,1,400
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,1,500
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,1,1000
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,2,100
0xf42132A16A48eE845aAE57436e7a855Ae74073F2,2,100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,2,100
0x1B0F4AdBD4c87979509419487d575C5275b84a09,2,100
0x896d723154eca634E5DD8A5D3EE76A4F1E9bE22E,2,150
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,2,1000
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,2,200
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,2,1200
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,2,1300
0x8a0120A7D28b2B2C32D3594EC94B1160DbB3ffC8,2,1341
0xB2F13661eb385286aB330Ba0E7661A1636793186,2,1400
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,2,1400
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,2,2000
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,2,2100
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,2,2100
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,2,2040
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,3,1000
0xf591Db9Dccd5d3Aaf8508dA2CFFEdd5ef5bb920F,3,100
0x3A9469B49c96Bf2e6aF2ae74143AD94B93Bc3dD6,3,1
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,3,100
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,1020
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,3,2000
0x794c94f1b5E455c1dBA27BB28C6085dB0FE544F9,3,3000
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,3,3060
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,4000
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,3100
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,3100
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,4100
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,3,4100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,4,100
0x75B772F2Bb4F47FBb31B14d6e034B81CB0a03730,4,500
0xFAD191bdDbc6BC81fa84ffc623E2Dd473DFCd697,4,100
0x962889273705A4dE31aadC3e8E49284E16c8c8e6,4,200
0x794c94f1b5E455c1dBA27BB28C6085dB0FE544F9,4,519
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,4,800
0x794c94f1b5E455c1dBA27BB28C6085dB0FE544F9,4,869
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,4,900
0xA77867A711123636D418217164BB97A4Def6f73a,4,950
0x794c94f1b5E455c1dBA27BB28C6085dB0FE544F9,4,1000
0x29c0D93BB22FDD7328adA5d59c53Ab9b1Bf08b20,4,1100
0x75B772F2Bb4F47FBb31B14d6e034B81CB0a03730,4,1069
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,4,1200
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,4,1500
0x29c0D93BB22FDD7328adA5d59c53Ab9b1Bf08b20,4,1600
0x75B772F2Bb4F47FBb31B14d6e034B81CB0a03730,4,1690
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,4,1799
0xC438E5d32f9381b59072b9a0c730Cbac41575A4E,4,1723.8
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,4,1723.8
0x29c0D93BB22FDD7328adA5d59c53Ab9b1Bf08b20,4,1723.8
0x29c0D93BB22FDD7328adA5d59c53Ab9b1Bf08b20,4,1900
0xC438E5d32f9381b59072b9a0c730Cbac41575A4E,4,1834.98
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,4,2000
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,4,2000
0x29c0D93BB22FDD7328adA5d59c53Ab9b1Bf08b20,4,2100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,4,2150
0xb585b60De71E48032e8C19B90896984afc6a660d,5,500
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,5,1000
0xb585b60De71E48032e8C19B90896984afc6a660d,5,1020
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,5,1200
0xD044b32b36Ca9D42Ab28087341a484Dae10388c9,5,1300
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,5,1800
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,5,1400
0xC9001B996a7e2659F6C74F5FAc588695816e0955,5,2525
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,5,2100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,5,2000
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,5,2650
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,5,3000
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,5,3200
0xC9001B996a7e2659F6C74F5FAc588695816e0955,5,3300
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,5,3400
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,5,3400
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,5,3600
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,5,3672
0xC9001B996a7e2659F6C74F5FAc588695816e0955,6,101
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,6,200
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,1500
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,6,1530
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,6,1700
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,6,2000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,6,2400
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,6,2700
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,3500
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,2754
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,3600
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,3700
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,3800
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,3800
0xB5D26158102181dc4ceee75f260A60Debd752E45,6,4000
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,3900
0xD7ec17Fb2A97B1c0b6cDA86B031678A11184D3df,6,4100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4100
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4100
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4250
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4200
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4335
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,6,4500
