from,tokenid,amount
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,1,1000.0
0xD2F132930EA3C58A389C6AD3A91eF104f95fE697,2,2100.0
0xc7A7fef8537a6cE1446cFb3E4fc85f1280476D6e,3,4100.0
0xD10c018d6cA3542b55c33Fc691e979c47B7641E7,4,2150.0
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,5,3672.0
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,6,4600.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,7,6120.0
0x6A8B40fB25A90a09151453aa79D569A7279f1ff6,8,2000.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,9,2300.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,11,1250.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,12,950.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,13,1200.0
0x25Db47Af3b426922DC5e31D08492518F6376299c,14,1000.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,15,1750.0
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,16,2000.0
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,2300.0
0x43397A347105078cFA99196B06E3e3Dd1411d845,18,2400.0
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,19,2800.0
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,21,2111.0
0xAEeAd003AC29326A98A09fA5903a23396dd7dfc8,22,3500.0
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,23,5000.0
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,24,2500.0
0xD80775766186eF44c73422fDF97D92701C27f70E,25,1200.0
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,26,750.0
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,27,1000.0
0xD80775766186eF44c73422fDF97D92701C27f70E,28,800.0
0x3cef170a51a5Bd3F2b07Cf32338142672D61ff20,29,2275.0
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,31,1020.0
0x468f4C726c5da2f8fb97C483c56d7703c18545D6,32,1269.0
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,33,769.0
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,34,888.0
0xA31a661FA0247e04499291C98c57ca23dC2d26DB,35,750.0
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,36,1000.0
0x07b92243153C0b29F89AbF3b512535641d112acB,37,2050.0
0x7844B963D10AcdF290E965982d6F4E35Ec9FB436,38,2222.0
0xA77867A711123636D418217164BB97A4Def6f73a,39,1900.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,41,1100.0
0xcfc14D1dc16F9c737355b678442d7491DC5183bC,42,1000.0
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,43,500.0
0xE8D5d28F875F81f49D2faE5250477c5D7A46AbF2,44,999.0
0xe0dDa4f11dA57F5b01D360072Ca1627Ea5bf93df,45,1050.0
0xe0dDa4f11dA57F5b01D360072Ca1627Ea5bf93df,46,1050.0
0xC4FA73d4e1DD3Ab3212501148C5235466fD01bfb,47,679.32
0xC4FA73d4e1DD3Ab3212501148C5235466fD01bfb,48,535.5
0xE8D5d28F875F81f49D2faE5250477c5D7A46AbF2,49,800.0
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,51,650.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,52,930.0
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,53,900.0
0xA77867A711123636D418217164BB97A4Def6f73a,54,580.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,55,1000.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,56,2000.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,57,1000.0
0xd7B6c15CD0A12078857A58f379D73e936BF1fF99,58,714.0
0xd7B6c15CD0A12078857A58f379D73e936BF1fF99,59,760.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,61,999.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,62,1200.0
0xd7B6c15CD0A12078857A58f379D73e936BF1fF99,63,420.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,64,900.0
0x80bb0D87DCe1a94329586Ce9C7d39692bBf44af6,65,1100.0
0x26602Bf417c4e57bA3d2268d7f93A1E16F29E069,66,950.0
0xaee2Ae13EBf81d38df5a9Ed7013E80EA3f72e39b,67,8000.0
0xaee2Ae13EBf81d38df5a9Ed7013E80EA3f72e39b,68,1326.0
0xaee2Ae13EBf81d38df5a9Ed7013E80EA3f72e39b,69,9696.0
0x80603EA8B4172b655786b15976fa0aa9851cAa9F,71,1020.0
0x4c1d9de1eb18Bc2ED05Fc00b7BA0F25413FCbcEf,72,1020.0
0x80603EA8B4172b655786b15976fa0aa9851cAa9F,73,900.0
0x347A1B1eF81aCD74740F6e073577347a8d5Ff107,74,1100.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,75,1010.0
0x347A1B1eF81aCD74740F6e073577347a8d5Ff107,76,1069.0
0xa242B590f63941749Be337Eed817aF40b61fDd7c,77,1192.38
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,78,1001.0
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,79,3500.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,81,600.0
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,82,888.0
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,83,928.0
0x07DdB647e0100b915D39f4126781D58755a82C19,84,600.0
0x3Ec7968D1622D6950DB90F7B023477a4f94bCc63,85,700.0
0xDe3cb45FD87F335f1CBB0f1e058E93DE8F7EF558,86,1000.0
0x344b4Cd8A9b376fCAB85810dDfee74045d58DE5b,87,420.0
0x8d26C9DAC7E16738752fa1446b956A97C63e2F39,88,550.0
0x0709B103d46d71458a71e5d81230DD688809A53D,89,1100.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,91,905.76
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,92,910.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,93,631.0
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,94,553.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,95,453.0
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,96,650.0
0x28729A795EFBd6B41fC2976A8303C77d66FEbC5B,97,1075.0
0x1f916bBF39aB189A9E3d9E1823a7b1A8e9e5f204,98,999.0
0xd7510c55745dF5F7ab75A8Cd7F4ed1D8aeD04A01,99,1200.0
0xD044b32b36Ca9D42Ab28087341a484Dae10388c9,101,1000.0
0x697d1eEb266AEc5251901e20e6A09dbdb68008c1,102,780.0
0x3E69E0f5335C140bf5692b224b3E0Ec95fc1bF21,103,250.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,104,700.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,105,888.0
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,106,1337.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,107,888.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,108,777.0
0x8E58aFD54b06cbf43B0998bA852A2d257c4E7CBD,109,900.0
0x46970aE7E554fec1EDCf087e58bAe422c515A12b,111,777.0
0xFc149d251fBdB3020a5B52c1660108e777C6061f,112,620.0
0xf42132A16A48eE845aAE57436e7a855Ae74073F2,113,309.0
0x2A3837b830FD55b0A4b62677d89F54410Cf5cbA2,114,520.0
0xA31a661FA0247e04499291C98c57ca23dC2d26DB,115,351.0
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,116,420.0
0x2A3837b830FD55b0A4b62677d89F54410Cf5cbA2,117,500.0
0x07DdB647e0100b915D39f4126781D58755a82C19,118,300.0
0x0C5681103c8118B6CAD4496eA563544af33911D9,119,200.0
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,121,312.12
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,122,220.0
0x97F50652a201Eb3f8fB9DdB33766C7157224c45B,123,440.0
0xd8856cCe3F878d3Ea03964F80B18987fF1919272,124,500.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,125,200.0
0xF2fF78B5D8796a10F65feD42073930ac8C3F8129,126,230.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,127,469.0
0x047F606fD5b2BaA5f5C6c4aB8958E45CB6B054B7,128,450.0
0xab61660F93dFfca32e3F526B20DAD35332080A12,129,280.0
0xab61660F93dFfca32e3F526B20DAD35332080A12,131,100.0
0xA77867A711123636D418217164BB97A4Def6f73a,132,130.0
0xA31a661FA0247e04499291C98c57ca23dC2d26DB,133,181.0
0x2b26dA567C2A8c220daF91be8E37A429D33AEF0B,134,500.0
0x3459be10A49e7bA76c59903755CBd76C0743F8DC,135,600.0
0x99999990D598B918799f38163204Bbc30611B6b6,136,666.0
0x84814EbDF05DFB9dC8A11349f73e8E64E3595664,137,450.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,138,469.0
0xe7A4Dd3f2B5a2F0d6c0Cbe42e0176bDd00541851,139,420.0
0x27093e9309C104A430507E853b58f470ac9086E5,141,420.0
0x3C2d6d7144241F1F1203c29C124585e55B58975E,142,420.0
0x5E3cAb8074C647C8f51cB3491FE64C00b2fD8355,143,900.0
0xA77867A711123636D418217164BB97A4Def6f73a,144,360.0
